1000
2.160000000000001d0    0.0922720828398159d0
2.200000000000001d0    0.0881907890955819d0
2.240000000000001d0    0.0834468806911009d0
2.280000000000001d0    0.07816835206883641d0
2.320000000000001d0    0.07249128063801534d0
2.360000000000001d0    0.06655405923397697d0
2.400000000000001d0    0.06049190754219129d0
2.440000000000001d0    0.05443195782981004d0
2.480000000000001d0    0.0484891492748493d0
2.520000000000001d0    0.0427630912879431d0
2.560000000000001d0    0.03733597688096707d0
2.600000000000001d0    0.03227154959246911d0
2.640000000000001d0    0.02761505808533455d0
2.680000000000001d0    0.02339407619214886d0
2.720000000000002d0    0.01962002601585429d0
2.760000000000002d0    0.01629021892775714d0
2.800000000000002d0    0.01339022340574058d0
2.840000000000002d0    0.01089637761959959d0
2.880000000000002d0    0.00877828544459115d0
2.920000000000002d0    0.007001163533635295d0
2.960000000000002d0    0.005527940442865996d0
3.000000000000002d0    0.004321043092141558d0
3.040000000000002d0    0.003343838122478665d0
3.080000000000002d0    0.002561723800511877d0
3.120000000000002d0    0.001942890640484957d0
3.160000000000002d0    0.001458785269070484d0
3.200000000000002d0    0.001084322319580381d0
3.240000000000002d0    0.0007978938973247853d0
3.280000000000002d0    0.0005812263360783057d0
3.320000000000002d0    0.0004191306685885259d0
3.360000000000002d0    0.0002991875899297875d0
3.400000000000002d0    0.0002114007428276596d0
3.440000000000002d0    0.0001478447785439075d0
3.480000000000002d0    0.0001023275242292263d0
3.520000000000002d0    0.00007007918736060338d0
3.560000000000002d0    0.00004747612553536083d0
3.600000000000002d0    0.0000318024174332652d0
3.640000000000002d0    0.00002104927441256831d0
3.680000000000002d0    0.0000137501316355221d0
3.720000000000002d0    0.00000884790170530117d0
3.760000000000002d0    0.00000559019029309627d0
3.800000000000002d0    0.000003448091053580935d0
3.840000000000003d0    0.000002054341268359379d0
3.880000000000003d0    0.000001156999618580563d0
3.920000000000003d0    0.0000005853004608166343d0
3.960000000000003d0    0.0000002248692728924562d0
4.000000000000003d0    0.d0
4.040000000000003d0    0.d0
4.080000000000003d0    0.d0
4.120000000000003d0    0.d0
4.160000000000003d0    0.d0
4.200000000000003d0    0.d0
4.240000000000003d0    0.d0
